id,date,name,price,volume
1136844,2025-07-15,ORI,36.34,1702000
1136786,2025-07-15,OWL,18.81,6592000
1136884,2025-07-15,OZK,50.71,899251
1136865,2025-07-15,PB,71.96,608193
1136879,2025-07-15,PDI,18.85,1341000
1136808,2025-07-15,PFG,79.38,859042
1136896,2025-07-15,PFSI,98.56,492787
1136726,2025-07-15,PGR,242.2,5196000
1136902,2025-07-15,PIPR,297.2,103974
1136861,2025-07-15,PJT,178.76,337810
1136744,2025-07-15,PNC,192.14,3458000
1136847,2025-07-15,PNFP,114.88,613326
1136848,2025-07-15,PRI,260.37,143305
1136771,2025-07-15,PRU,102.98,1578000
1136912,2025-07-15,PSLV,12.7,34470047
1136775,2025-07-15,PUK,24.74,930622
1136747,2025-07-15,PYPL,72.96,6050000
1136870,2025-07-15,QFIN,42.43,1612000
1136898,2025-07-15,RDN,33.67,1301000
1136800,2025-07-15,RF,24.03,12049000
1136825,2025-07-15,RGA,192.29,360841
1136779,2025-07-15,RJF,156.27,902564
1136789,2025-07-15,RKT,13.31,15306000
1136911,2025-07-15,RLI,69.89,411615
1136828,2025-07-15,RNR,236.0,532668
1136721,2025-07-15,RY,130.64,853181
1136813,2025-07-15,RYAN,64.96,882446
1136728,2025-07-15,SAN,8.31,5978000
1136722,2025-07-15,SCHW,91.61,5872000
1136829,2025-07-15,SEIC,91.13,588050
1136836,2025-07-15,SF,107.32,593801
1136906,2025-07-15,SFBS,79.6,226304
1136792,2025-07-15,SHG,50.32,336170
1136891,2025-07-15,SIGI,86.07,489924
1136772,2025-07-15,SLF,62.0,411727
1136863,2025-07-15,SLM,32.63,2273000
1136737,2025-07-15,SMFG,14.7,1698000
1136859,2025-07-15,SNV,52.53,1437000
1136798,2025-07-15,SOFI,20.95,58929000
1136724,2025-07-15,SPGI,522.28,568505
1136860,2025-07-15,SSB,94.44,910319
1136862,2025-07-15,STEP,58.85,448141
1136782,2025-07-15,STT,102.01,5306000
1136788,2025-07-15,SYF,68.56,2569000
1136727,2025-07-15,TD,73.45,1444000
1136758,2025-07-15,TFC,44.37,8766000
1136881,2025-07-15,THG,163.33,196163
1136804,2025-07-15,TPG,54.21,1090000
1136799,2025-07-15,TROW,100.63,1578000
1136811,2025-07-15,TRU,90.5,2066000
1136759,2025-07-15,TRV,250.62,1425000
1136783,2025-07-15,TW,134.39,979761
1136731,2025-07-15,UBS,35.41,1750000
1136900,2025-07-15,UBSI,36.57,443011
1136892,2025-07-15,UMBF,106.84,683051
1136819,2025-07-15,UNM,78.97,1046000
1136749,2025-07-15,USB,45.69,13237000
1136869,2025-07-15,UWMC,4.18,7361000
1136710,2025-07-15,V,347.02,4207000
1136868,2025-07-15,VIRT,44.17,668767
1136893,2025-07-15,VLY,9.22,5850000
1136866,2025-07-15,VOYA,71.19,831878
1136846,2025-07-15,WAL,80.99,936866
1136840,2025-07-15,WBS,57.91,1566000
1136822,2025-07-15,WF,57.36,218306
1136714,2025-07-15,WFC,78.86,47000000
1136790,2025-07-15,WRB,67.78,1985000
1136849,2025-07-15,WTFC,128.27,363959
1136903,2025-07-15,WTM,1793.11,24614
1136780,2025-07-15,WTW,304.39,768406
1136842,2025-07-15,XP,18.22,6161000
1136853,2025-07-15,ZION,54.54,1099000
1136982,2025-07-16,ACGL,89.07,1798000
1137098,2025-07-16,ACT,34.75,311933
1137041,2025-07-16,AEG,7.01,7493000
1137047,2025-07-16,AFG,125.42,704463
1136968,2025-07-16,AFL,101.44,1607000
1136975,2025-07-16,AIG,80.99,4055000
1137051,2025-07-16,AIZ,185.74,493223
1136961,2025-07-16,AJG,309.92,1568000
1136972,2025-07-16,ALL,195.62,1448000
1137022,2025-07-16,ALLY,39.33,2562000
1137085,2025-07-16,AMG,203.63,245120
1136974,2025-07-16,AMP,524.84,429565
1136953,2025-07-16,AON,354.56,1151000
1136949,2025-07-16,APO,152.71,3927000
1137025,2025-07-16,ARCC,23.06,2621000
1136969,2025-07-16,ARES,179.92,1747000
1136926,2025-07-16,AXP,311.9,2921000
1137063,2025-07-16,AXS,95.92,472814
1136920,2025-07-16,BAC,46.03,56311000
1137001,2025-07-16,BAM,59.32,1919000
1137020,2025-07-16,BAP,220.56,331729
1137118,2025-07-16,BBAR,14.81,998683
1136950,2025-07-16,BBVA,14.9,4306000
1137030,2025-07-16,BCH,28.2,229659
1136963,2025-07-16,BCS,18.73,31584000
1137034,2025-07-16,BEN,24.35,3373000
1136960,2025-07-16,BK,95.49,5438000
1136930,2025-07-16,BLK,1082.24,1407000
1137114,2025-07-16,BMA,63.21,661620
1136956,2025-07-16,BMO,113.68,395366
1136945,2025-07-16,BN,65.79,3472000
1136962,2025-07-16,BNS,55.07,3643000
1137043,2025-07-16,BNT,65.63,22376
1137079,2025-07-16,BOKF,101.14,230155
1137064,2025-07-16,BPOP,111.94,449757
1136916,2025-07-16,BRK-A,707681.0,312
1136991,2025-07-16,BRO,104.97,3438000
1137055,2025-07-16,BSAC,23.48,383010
1136978,2025-07-16,BSBR,5.0,843144
1136927,2025-07-16,BX,165.92,5662000
1137071,2025-07-16,BXSL,32.43,906604
1136924,2025-07-16,C,90.02,23307000
1137086,2025-07-16,CACC,501.88,72524
1137083,2025-07-16,CADE,34.34,1998000
1136940,2025-07-16,CB,277.6,1498000
1137122,2025-07-16,CEF,30.86,767092
1137011,2025-07-16,CFG,46.97,6480000
1137057,2025-07-16,CFR,135.73,628490
1137010,2025-07-16,CG,58.19,3102000
1137040,2025-07-16,CIB,44.23,162957
1137006,2025-07-16,CINF,147.73,356941
1136984,2025-07-16,CM,72.59,783563
1137062,2025-07-16,CMA,61.14,2241000
1136943,2025-07-16,CME,277.53,1853000
1137038,2025-07-16,CNA,43.76,632643
1137117,2025-07-16,CNS,75.99,283615
